pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	6.57E-02	1.53E-03	5.80E-03	2.46E-03
1.5	2	1.18E-02	2.81E-04	1.03E-03	4.78E-04
2	2.5	2.62E-03	7.10E-05	2.33E-04	1.14E-04
2.5	3	6.89E-04	2.75E-05	6.15E-05	3.14E-05
3	3.5	2.25E-04	1.23E-05	2.06E-05	1.05E-05
3.5	4	6.84E-05	4.88E-06	6.56E-06	3.31E-06
4	4.5	2.61E-05	3.04E-06	2.86E-06	1.19E-06
4.5	5	1.03E-05	1.64E-06	1.41E-06	4.11E-07
5	5.5	6.50E-06	1.18E-06	9.95E-07	2.71E-07
5.5	6	2.32E-06	6.41E-07	7.08E-07	1.16E-07
6	6.5	1.06E-06	3.99E-07	4.22E-07	5.28E-08
