pT_low	pT_high	v2	err_v2	syslow
0.247	0.348	0.02661	0.00035	0.01957
0.348	0.448	0.04188	0.00037	0.00361
0.448	0.548	0.05395	0.00041	0.00248
0.548	0.648	0.06567	0.00046	0.00214
0.648	0.748	0.07746	0.00051	0.00185
0.748	0.848	0.0873	0.00057	0.00169
0.848	0.948	0.09827	0.00065	0.00183
0.948	1.092	0.10808	0.00074	0.00149
1.092	1.292	0.12065	0.00063	0.00147
1.292	1.492	0.13535	0.00081	0.00138
1.492	1.692	0.14994	0.00109	0.00171
1.692	1.892	0.16504	0.0015	0.00164
1.892	2.2	0.18136	0.00203	0.00175
2.2	2.703	0.18912	0.002	0.00162
2.703	3.343	0.19998	0.00375	0.00147
3.343	4.381	0.19147	0.00576	0.00197
4.381	5.41	0.17005	0.01517	0.00354
5.41	6.852	0.14833	0.03585	0.00662
6.852	7.573	0.13003	0.0724	0.01615
