# pT_low pT_high v2 err_v2 syslow
0.247 0.348 0.02661 3.5e-4 0.020
0.348 0.448 0.0419 4e-4 0.004
0.448 0.548 0.0540 4e-4 0.0025
0.548 0.648 0.0657 5e-4 0.0021
0.648 0.748 0.0775 5e-4 0.0019
0.748 0.848 0.0873 6e-4 0.0017
0.848 0.948 0.0983 7e-4 0.0018
0.948 1.092 0.1081 7e-4 0.0015
1.092 1.292 0.1207 6e-4 0.0015
1.292 1.492 0.1354 8e-4 0.0014
1.492 1.692 0.1499 0.0011 0.0017
1.692 1.892 0.1650 0.0015 0.0016
1.892 2.2 0.1814 0.0020 0.0018
2.2 2.703 0.1891 0.0020 0.0016
2.703 3.343 0.2000 0.004 0.0015
3.343 4.381 0.1915 0.006 0.0020
4.381 5.41 0.1701 0.015 0.0035
5.41 6.852 0.148 0.04 0.007
6.852 7.573 0.130 0.07 0.016
