# pT_low pT_high Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1 1.5 0.0318 7e-4 0.004 0.0012
1.5 2 0.00559 1.3e-4 6e-4 2.2e-4
2 2.5 0.00125 4e-5 1.4e-4 5e-5
2.5 3 3.19e-4 1.3e-5 4e-5 1.3e-5
3 3.5 9.2e-5 7e-6 1.1e-5 4e-6
3.5 4 3.50e-5 2.9e-6 4e-6 1.5e-6
4 4.5 1.07e-5 1.6e-6 1.5e-6 4e-7
4.5 5 5.58e-6 1.0e-6 9e-7 2.3e-7
5 5.5 2.70e-6 7e-7 7e-7 1.4e-7
5.5 6 8.6e-7 3.5e-7 4e-7 4e-8
