pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	3.18E-02	7.09E-04	3.56E-03	1.23E-03
1.5	2	5.59E-03	1.33E-04	6.25E-04	2.23E-04
2	2.5	1.25E-03	3.91E-05	1.40E-04	5.10E-05
2.5	3	3.19E-04	1.28E-05	3.65E-05	1.34E-05
3	3.5	9.16E-05	6.58E-06	1.05E-05	3.78E-06
3.5	4	3.50E-05	2.94E-06	4.34E-06	1.49E-06
4	4.5	1.07E-05	1.63E-06	1.52E-06	4.34E-07
4.5	5	5.58E-06	1.02E-06	8.72E-07	2.26E-07
5	5.5	2.70E-06	6.54E-07	7.42E-07	1.35E-07
5.5	6	8.58E-07	3.50E-07	3.68E-07	4.29E-08
