pT_low	pT_high	R_AA	eR_AA	eNorm
1	1.5	0.399	0.044	0.054
1.5	2	0.437	0.049	0.059
2	2.5	0.452	0.052	0.061
2.5	3	0.387	0.047	0.052
3	3.5	0.334	0.045	0.045
3.5	4	0.332	0.047	0.045
4	4.5	0.338	0.045	0.045
4.5	5	0.317	0.045	0.043
5	5.5	0.32	0.048	0.043
5.5	6	0.237	0.039	0.032
6	6.5	0.288	0.052	0.039
6.5	7	0.261	0.056	0.035
7	7.5	0.321	0.074	0.043
7.5	8	0.414	0.117	0.056
8	8.5	0.233	0.077	0.031
8.5	9	0.42	0.151	0.056
9	9.5	0.316	0.136	0.043
