pT_low	pT_high	R_AA	eR_AA	eNorm
1	1.5	0.508	0.057	0.073
1.5	2	0.575	0.064	0.083
2	2.5	0.597	0.068	0.086
2.5	3	0.543	0.066	0.078
3	3.5	0.48	0.064	0.069
3.5	4	0.441	0.063	0.063
4	4.5	0.507	0.067	0.073
4.5	5	0.515	0.073	0.074
5	5.5	0.432	0.067	0.062
5.5	6	0.387	0.066	0.056
6	6.5	0.493	0.093	0.071
6.5	7	0.511	0.108	0.074
7	7.5	0.472	0.124	0.068
7.5	8	0.743	0.215	0.107
8	8.5	0.391	0.148	0.056
