###################################################
# Fig. 3. Invariant pT-spectra in Cu+Au at 200 GeV#
###################################################
#
#### Insert (a): pi0 Invariant pT-Spectra in different centrality intervals of Cu+Au collisions at 200 GeV
#
#p_T (GeV/c)  Inv. Yield ((GeV/c)^{-2})  Stat. + Syst. A          Syst. B          Syst. C  
#Minimum Bias 
!1
        6.75     4.900675e-01     6.396520e-03     6.121410e-02     5.519083e-02  
        7.25     4.865975e-01     7.504488e-03     6.103684e-02     5.480005e-02  
        7.75     4.789734e-01     8.846868e-03     6.015402e-02     5.394143e-02  
        8.25     4.896594e-01     1.049930e-02     6.498362e-02     5.514487e-02  
        8.75     4.840185e-01     1.206506e-02     6.470103e-02     5.450960e-02  
        9.25     4.882922e-01     1.488528e-02     6.516706e-02     5.499090e-02  
        9.75     5.434771e-01     2.008840e-02     7.301814e-02     6.120576e-02  
          11     4.996155e-01     1.314429e-02     7.187023e-02     5.626612e-02  
          13     5.405165e-01     2.677514e-02     8.327680e-02     6.087234e-02  
          15     6.953174e-01     6.046602e-02     1.151213e-01     7.830584e-02  
          17     7.290349e-01     1.035843e-01     1.359642e-01     8.210306e-02  
          19     6.092986e-01     1.392930e-01     1.263854e-01     6.861850e-02  
#0-10% [insert (a)]
! 30
        1.25     5.196685e-01     1.590458e-02     4.401637e-02     5.572669e-02  
        1.75     5.588874e-01     1.302455e-02     5.147478e-02     5.993233e-02  
        2.25     4.915360e-01     1.001570e-02     4.893746e-02     5.270989e-02  
        2.75     4.456872e-01     8.522533e-03     4.525079e-02     4.779330e-02  
        3.25     4.086539e-01     7.602751e-03     4.386408e-02     4.382203e-02  
        3.75     3.700816e-01     7.043872e-03     4.194914e-02     3.968572e-02  
        4.25     3.548747e-01     6.101067e-03     4.200828e-02     3.805501e-02  
        4.75     3.389937e-01     5.764433e-03     4.033457e-02     3.635201e-02  
        5.25     3.561471e-01     6.012091e-03     4.445613e-02     3.819146e-02  
        5.75     3.519790e-01     6.120297e-03     4.398613e-02     3.774449e-02  
        6.25     3.503608e-01     6.608005e-03     4.387895e-02     3.757096e-02  
        6.75     3.527129e-01     7.371937e-03     4.432925e-02     3.782319e-02  
        7.25     3.545058e-01     8.206034e-03     4.477334e-02     3.801545e-02  
        7.75     3.470922e-01     9.168448e-03     4.387827e-02     3.722045e-02  
        8.25     3.657847e-01     1.045421e-02     4.885063e-02     3.922495e-02  
        8.75     3.445041e-01     1.113828e-02     4.632143e-02     3.694292e-02  
        9.25     3.528143e-01     1.351759e-02     4.737102e-02     3.783406e-02  
        9.75     3.989043e-01     1.768231e-02     5.396620e-02     4.277653e-02  
          11     3.707067e-01     1.168276e-02     5.357111e-02     3.975276e-02  
          13     4.009141e-01     2.288172e-02     6.200663e-02     4.299205e-02  
          15     5.373058e-01     5.174627e-02     9.069722e-02     5.761802e-02  
          17     5.622992e-01     9.033143e-02     1.074992e-01     6.029819e-02  
          19     5.115679e-01     1.337600e-01     1.093952e-01     5.485802e-02  
#10-20% [insert (b)]
! 31
        1.25     5.720146e-01     1.670647e-02     4.784862e-02     5.964971e-02  
        1.75     5.915543e-01     1.288928e-02     5.375632e-02     6.168731e-02  
        2.25     5.592486e-01     1.037781e-02     5.524516e-02     5.831847e-02  
        2.75     5.196093e-01     9.358638e-03     5.228421e-02     5.418488e-02  
        3.25     4.679610e-01     8.191790e-03     4.986046e-02     4.879900e-02  
        3.75     4.445297e-01     7.971782e-03     5.006652e-02     4.635558e-02  
        4.25     4.408320e-01     7.023698e-03     5.187096e-02     4.596998e-02  
        4.75     4.196005e-01     6.778334e-03     4.962508e-02     4.375596e-02  
        5.25     4.198320e-01     6.758128e-03     5.211355e-02     4.378010e-02  
        5.75     4.094865e-01     6.851128e-03     5.085424e-02     4.270127e-02  
        6.25     4.270431e-01     7.827013e-03     5.321506e-02     4.453208e-02  
        6.75     4.236047e-01     8.640890e-03     5.296881e-02     4.417352e-02  
        7.25     4.166226e-01     9.687347e-03     5.228250e-02     4.344543e-02  
        7.75     4.078127e-01     1.094603e-02     5.128451e-02     4.252673e-02  
        8.25     4.318888e-01     1.209989e-02     5.740309e-02     4.503739e-02  
        8.75     4.306417e-01     1.361504e-02     5.765991e-02     4.490734e-02  
        9.25     4.385416e-01     1.643147e-02     5.865602e-02     4.573114e-02  
        9.75     4.695994e-01     2.074299e-02     6.325046e-02     4.896985e-02  
          11     4.347490e-01     1.406586e-02     6.256538e-02     4.533565e-02  
          13     5.008597e-01     2.854293e-02     7.744720e-02     5.222968e-02  
          15     5.559531e-01     5.688241e-02     9.323771e-02     5.797482e-02  
          17     6.493700e-01     1.083069e-01     1.228369e-01     6.771634e-02  
          19     5.242127e-01     1.461350e-01     1.096883e-01     5.466493e-02  
#0-20% [insert (c)]
! 32
        1.25     5.408443e-01     1.233521e-02     4.561892e-02     5.725318e-02  
        1.75     5.736678e-01     9.836321e-03     5.263922e-02     6.072783e-02  
        2.25     5.213976e-01     7.678365e-03     5.186370e-02     5.519457e-02  
        2.75     4.758798e-01     6.694992e-03     4.826531e-02     5.037611e-02  
        3.25     4.335834e-01     6.039804e-03     4.650715e-02     4.589866e-02  
        3.75     4.009085e-01     5.903895e-03     4.542502e-02     4.243973e-02  
        4.25     3.908375e-01     4.857906e-03     4.624112e-02     4.137362e-02  
        4.75     3.719646e-01     4.644306e-03     4.423852e-02     3.937576e-02  
        5.25     3.827296e-01     4.797013e-03     4.774998e-02     4.051533e-02  
        5.75     3.762013e-01     4.954878e-03     4.697096e-02     3.982425e-02  
        6.25     3.821809e-01     5.583634e-03     4.784896e-02     4.045724e-02  
        6.75     3.825117e-01     6.340851e-03     4.805114e-02     4.049226e-02  
        7.25     3.803983e-01     7.220141e-03     4.798290e-02     4.026854e-02  
        7.75     3.716319e-01     8.245132e-03     4.693917e-02     3.934054e-02  
        8.25     3.935062e-01     9.633483e-03     5.250635e-02     4.165613e-02  
        8.75     3.801633e-01     1.065539e-02     5.107220e-02     4.024366e-02  
        9.25     3.872887e-01     1.307395e-02     5.194748e-02     4.099795e-02  
        9.75     4.266240e-01     1.717805e-02     5.763152e-02     4.516194e-02  
          11     3.951552e-01     1.136319e-02     5.707711e-02     4.183069e-02  
          13     4.419709e-01     2.324202e-02     6.830013e-02     4.678655e-02  
          15     5.618282e-01     5.112319e-02     9.422291e-02     5.947451e-02  
          17     6.072440e-01     9.080846e-02     1.147392e-01     6.428217e-02  
          19     5.097402e-01     1.241465e-01     1.068929e-01     5.396053e-02  
#20-40% [insert (d)]
! 34
        1.25     6.631129e-01     1.326601e-02     5.524842e-02     7.497378e-02  
        1.75     7.006328e-01     1.054984e-02     6.358999e-02     7.921591e-02  
        2.25     6.593650e-01     8.519634e-03     6.499743e-02     7.455003e-02  
        2.75     6.188190e-01     7.694929e-03     6.224914e-02     6.996576e-02  
        3.25     6.120685e-01     7.644499e-03     6.516063e-02     6.920253e-02  
        3.75     5.695549e-01     7.632709e-03     6.411091e-02     6.439580e-02  
        4.25     5.763004e-01     6.401210e-03     6.776348e-02     6.515847e-02  
        4.75     5.739665e-01     6.477436e-03     6.787696e-02     6.489459e-02  
        5.25     5.676203e-01     6.519829e-03     7.043314e-02     6.417707e-02  
        5.75     5.567399e-01     6.975472e-03     6.913619e-02     6.294689e-02  
        6.25     5.585409e-01     7.894463e-03     6.956077e-02     6.315052e-02  
        6.75     5.695284e-01     9.461166e-03     7.114701e-02     6.439280e-02  
        7.25     5.608393e-01     1.092278e-02     7.037692e-02     6.341038e-02  
        7.75     5.696533e-01     1.307874e-02     7.159114e-02     6.440692e-02  
        8.25     5.490347e-01     1.378660e-02     7.287948e-02     6.207572e-02  
        8.75     5.676645e-01     1.633205e-02     7.594497e-02     6.418206e-02  
        9.25     5.715680e-01     1.994028e-02     7.636656e-02     6.462341e-02  
        9.75     6.363868e-01     2.624653e-02     8.561714e-02     7.195204e-02  
          11     5.933187e-01     1.759108e-02     8.538516e-02     6.708261e-02  
          13     6.178850e-01     3.384270e-02     9.540224e-02     6.986016e-02  
          15     7.756583e-01     7.501900e-02     1.295654e-01     8.769854e-02  
          17     7.892735e-01     1.254515e-01     1.494431e-01     8.923792e-02  
          19     7.811229e-01     1.998247e-01     1.648782e-01     8.831639e-02  
#40-60% [insert (e)]
! 36
        1.25     8.116419e-01     1.483546e-02     6.647670e-02     1.193011e-01  
        1.75     8.963404e-01     1.222182e-02     8.026714e-02     1.317507e-01  
        2.25     8.728953e-01     1.031354e-02     8.507031e-02     1.283046e-01  
        2.75     8.561428e-01     9.538490e-03     8.520495e-02     1.258422e-01  
        3.25     8.414859e-01     9.596898e-03     8.871634e-02     1.236878e-01  
        3.75     8.314132e-01     1.044559e-02     9.278969e-02     1.222073e-01  
        4.25     8.452837e-01     8.480379e-03     9.861537e-02     1.242460e-01  
        4.75     8.232583e-01     8.689395e-03     9.659295e-02     1.210086e-01  
        5.25     8.556838e-01     9.571698e-03     1.054350e-01     1.257747e-01  
        5.75     8.188780e-01     1.041177e-02     1.009625e-01     1.203647e-01  
        6.25     8.508164e-01     1.257538e-02     1.052315e-01     1.250593e-01  
        6.75     8.372215e-01     1.508347e-02     1.038674e-01     1.230610e-01  
        7.25     8.340430e-01     1.778087e-02     1.039630e-01     1.225938e-01  
        7.75     8.404179e-01     2.166373e-02     1.049277e-01     1.235308e-01  
        8.25     7.960232e-01     2.172215e-02     1.050535e-01     1.170054e-01  
        8.75     8.157179e-01     2.570467e-02     1.085950e-01     1.199002e-01  
        9.25     8.291513e-01     3.155074e-02     1.102246e-01     1.218748e-01  
        9.75     9.007595e-01     4.030862e-02     1.206201e-01     1.324003e-01  
          11     8.083482e-01     2.667544e-02     1.158683e-01     1.188170e-01  
          13     8.456103e-01     5.276593e-02     1.305355e-01     1.242940e-01  
          15     1.037825e+00     1.225681e-01     1.749856e-01     1.525472e-01  
          17     1.087419e+00     2.060585e-01     2.090638e-01     1.598369e-01  
#60-90%
! 0 Needs to be added as supplemental 
        1.25     1.163545e+00     1.880846e-02     9.679099e-02     2.526548e-01  
        1.75     1.198862e+00     1.428740e-02     1.087838e-01     2.603236e-01  
        2.25     1.196214e+00     1.246642e-02     1.179015e-01     2.597486e-01  
        2.75     1.190006e+00     1.182252e-02     1.197223e-01     2.584006e-01  
        3.25     1.181264e+00     1.221670e-02     1.257492e-01     2.565023e-01  
        3.75     1.144692e+00     1.365895e-02     1.288333e-01     2.485610e-01  
        4.25     1.215273e+00     1.161169e-02     1.428979e-01     2.638871e-01  
        4.75     1.207827e+00     1.277794e-02     1.428252e-01     2.622703e-01  
        5.25     1.200328e+00     1.518883e-02     1.489463e-01     2.606419e-01  
        5.75     1.139889e+00     1.783115e-02     1.415606e-01     2.475181e-01  
        6.25     1.212915e+00     2.314718e-02     1.511360e-01     2.633751e-01  
        6.75     1.163354e+00     2.939137e-02     1.454275e-01     2.526133e-01  
        7.25     1.252045e+00     3.554710e-02     1.573474e-01     2.718719e-01  
        7.75     1.146785e+00     4.190271e-02     1.445088e-01     2.490155e-01  
        8.25     1.168334e+00     4.068396e-02     1.553759e-01     2.536947e-01  
        8.75     1.097799e+00     4.512567e-02     1.472684e-01     2.383786e-01  
        9.25     1.114716e+00     5.661180e-02     1.496467e-01     2.420520e-01  
        9.75     1.238163e+00     7.120858e-02     1.677134e-01     2.688575e-01  
          11     1.097972e+00     4.815169e-02     1.586063e-01     2.384161e-01  
          13     1.061579e+00     8.689878e-02     1.667345e-01     2.305137e-01  
          15     1.172236e+00     1.946480e-01     2.074203e-01     2.545420e-01  
#
#### eta R_{AB} 
#
#p_T (GeV/c)           R_{AB}  Stat. + Syst. A          Syst. B          Syst. C  
#Minimum Bias [insert (f)]
! 39
        2.25     6.605351e-01     4.008076e-02     1.586784e-01     7.438870e-02  
        2.75     6.242906e-01     3.619626e-02     1.126961e-01     7.030688e-02  
        3.25     5.506117e-01     2.172597e-02     7.563791e-02     6.200925e-02  
        3.75     5.185872e-01     1.957027e-02     7.253817e-02     5.840269e-02  
        4.25     5.241842e-01     1.726777e-02     7.309544e-02     5.903302e-02  
        4.75     5.143368e-01     1.679454e-02     7.122009e-02     5.792401e-02  
         5.5     4.760089e-01     1.307088e-02     6.318048e-02     5.360757e-02  
         6.5     4.937145e-01     1.583417e-02     6.506113e-02     5.560156e-02  
         7.5     5.121874e-01     2.253441e-02     6.725404e-02     5.768195e-02  
         8.5     4.947843e-01     2.082187e-02     6.816989e-02     5.572203e-02  
         9.5     5.568343e-01     3.198986e-02     7.669995e-02     6.271003e-02  
          11     5.058835e-01     2.914185e-02     7.300989e-02     5.697201e-02  
          13     6.733708e-01     6.002473e-02     9.796147e-02     7.583424e-02  
          15     6.658987e-01     9.789407e-02     9.865698e-02     7.499274e-02  
          17     7.310276e-01     1.591264e-01     1.109012e-01     8.232748e-02  
# 0-20% [insert (c)]
! 33
        2.25     6.011361e-01     4.234719e-02     1.451481e-01     6.363560e-02  
        2.75     5.427920e-01     3.591960e-02     9.905541e-02     5.745935e-02  
        3.25     4.877773e-01     3.135492e-02     6.888141e-02     5.163556e-02  
        3.75     4.058490e-01     2.628075e-02     5.816470e-02     4.296272e-02  
        4.25     4.109425e-01     2.135626e-02     5.824646e-02     4.350191e-02  
        4.75     4.018410e-01     2.246269e-02     5.674871e-02     4.253844e-02  
         5.5     3.917853e-01     1.876899e-02     5.321001e-02     4.147395e-02  
         6.5     4.030623e-01     2.150715e-02     5.418058e-02     4.266772e-02  
         7.5     4.351753e-01     2.767382e-02     5.855170e-02     4.606717e-02  
         8.5     4.012814e-01     2.342047e-02     5.650279e-02     4.247920e-02  
         9.5     4.780016e-01     3.526321e-02     6.730557e-02     5.060072e-02  
          11     4.186375e-01     3.074313e-02     6.162087e-02     4.431650e-02  
          13     5.576765e-01     5.705329e-02     8.287912e-02     5.903501e-02  
          15     5.160361e-01     8.780459e-02     7.846452e-02     5.462701e-02  
          17     6.452771e-01     1.517060e-01     1.009747e-01     6.830831e-02  
#20-40% [insert (d)]
! 35
        2.25     6.933541e-01     4.648219e-02     1.666533e-01     7.839295e-02  
        2.75     6.898859e-01     4.412717e-02     1.246008e-01     7.800083e-02  
        3.25     5.760392e-01     3.401589e-02     7.914268e-02     6.512894e-02  
        3.75     6.196777e-01     3.372824e-02     8.684449e-02     7.006285e-02  
        4.25     6.609412e-01     3.061715e-02     9.243165e-02     7.472824e-02  
        4.75     6.218566e-01     2.926005e-02     8.661789e-02     7.030920e-02  
         5.5     5.556104e-01     2.229223e-02     7.383779e-02     6.281919e-02  
         6.5     5.430169e-01     2.560869e-02     7.188675e-02     6.139532e-02  
         7.5     5.453536e-01     3.733459e-02     7.215261e-02     6.165952e-02  
         8.5     5.631354e-01     3.336182e-02     7.801718e-02     6.366999e-02  
         9.5     6.478489e-01     4.993361e-02     8.978996e-02     7.324798e-02  
          11     6.007099e-01     4.856763e-02     8.800698e-02     6.791829e-02  
          13     7.645704e-01     8.658517e-02     1.116692e-01     8.644491e-02  
          15     9.919677e-01     1.622188e-01     1.471874e-01     1.121552e-01  
          17     9.353128e-01     2.429275e-01     1.430543e-01     1.057496e-01  
#40-60% [insert (e)]
! 37
        2.25     9.037124e-01     6.075290e-02     2.171114e-01     1.328343e-01  
        2.75     9.038040e-01     5.772931e-02     1.631390e-01     1.328478e-01  
        3.25     7.842835e-01     4.266376e-02     1.079187e-01     1.152798e-01  
        3.75     9.211530e-01     4.460875e-02     1.297046e-01     1.353979e-01  
        4.25     8.222976e-01     3.975862e-02     1.150014e-01     1.208674e-01  
        4.75     8.442029e-01     3.966481e-02     1.173900e-01     1.240872e-01  
         5.5     8.567987e-01     3.340074e-02     1.141222e-01     1.259386e-01  
         6.5     8.178521e-01     4.295320e-02     1.088036e-01     1.202139e-01  
         7.5     9.454304e-01     6.916558e-02     1.250975e-01     1.389663e-01  
         8.5     8.304548e-01     5.733326e-02     1.155458e-01     1.220664e-01  
         9.5     8.679151e-01     8.488571e-02     1.213574e-01     1.275726e-01  
          11     8.041755e-01     8.664237e-02     1.176062e-01     1.182037e-01  
          13     1.099238e+00     1.580040e-01     1.614412e-01     1.615741e-01  
          15     1.051159e+00     2.420574e-01     1.575520e-01     1.545071e-01  
#60-90% 
! 40 
        2.25     1.199722e+00     7.890985e-02     2.884568e-01     2.605104e-01  
        2.75     1.210920e+00     7.584110e-02     2.187024e-01     2.629419e-01  
        3.25     1.186560e+00     6.168687e-02     1.634574e-01     2.576523e-01  
        3.75     1.145504e+00     5.995941e-02     1.610285e-01     2.487373e-01  
        4.25     1.369938e+00     6.170433e-02     1.922191e-01     2.974714e-01  
        4.75     1.186810e+00     6.602894e-02     1.647531e-01     2.577066e-01  
         5.5     1.259670e+00     6.079504e-02     1.680039e-01     2.735276e-01  
         6.5     1.179233e+00     7.143899e-02     1.569120e-01     2.560613e-01  
         7.5     1.041883e+00     1.061708e-01     1.399718e-01     2.262368e-01  
         8.5     1.145431e+00     9.814652e-02     1.597681e-01     2.487215e-01  
         9.5     1.109876e+00     1.415675e-01     1.555440e-01     2.410010e-01  
          11     1.097548e+00     1.380194e-01     1.596158e-01     2.383241e-01  
#
####################################################################
# Fig. 6. pi0 R_AB in Cu+Au, Au+Au and Cu+Cu collisions at 200 GeV #
####################################################################
#
#### Top Insert: pi0 R_AB in 0-10% Cu+Au and 20-30% Au+Au collisions at 200 GeV
#
#p_T (GeV/c)           R_{AB}  Stat. + Syst. A          Syst. B          Syst. C  
#0-10% Cu+Au
! -1 Defined above
        1.25     5.196685e-01     1.590458e-02     4.401637e-02     5.572669e-02  
        1.75     5.588874e-01     1.302455e-02     5.147478e-02     5.993233e-02  
        2.25     4.915360e-01     1.001570e-02     4.893746e-02     5.270989e-02  
        2.75     4.456872e-01     8.522533e-03     4.525079e-02     4.779330e-02  
        3.25     4.086539e-01     7.602751e-03     4.386408e-02     4.382203e-02  
        3.75     3.700816e-01     7.043872e-03     4.194914e-02     3.968572e-02  
        4.25     3.548747e-01     6.101067e-03     4.200828e-02     3.805501e-02  
        4.75     3.389937e-01     5.764433e-03     4.033457e-02     3.635201e-02  
        5.25     3.561471e-01     6.012091e-03     4.445613e-02     3.819146e-02  
        5.75     3.519790e-01     6.120297e-03     4.398613e-02     3.774449e-02  
        6.25     3.503608e-01     6.608005e-03     4.387895e-02     3.757096e-02  
        6.75     3.527129e-01     7.371937e-03     4.432925e-02     3.782319e-02  
        7.25     3.545058e-01     8.206034e-03     4.477334e-02     3.801545e-02  
        7.75     3.470922e-01     9.168448e-03     4.387827e-02     3.722045e-02  
        8.25     3.657847e-01     1.045421e-02     4.885063e-02     3.922495e-02  
        8.75     3.445041e-01     1.113828e-02     4.632143e-02     3.694292e-02  
        9.25     3.528143e-01     1.351759e-02     4.737102e-02     3.783406e-02  
        9.75     3.989043e-01     1.768231e-02     5.396620e-02     4.277653e-02  
          11     3.707067e-01     1.168276e-02     5.357111e-02     3.975276e-02  
          13     4.009141e-01     2.288172e-02     6.200663e-02     4.299205e-02  
          15     5.373058e-01     5.174627e-02     9.069722e-02     5.761802e-02  
          17     5.622992e-01     9.033143e-02     1.074992e-01     6.029819e-02  
          19     5.115679e-01     1.337600e-01     1.093952e-01     5.485802e-02  
#20-30% Au+Au
! 41 Change eta to pi0
        1.25     4.524000e-01     6.235094e-03     5.426774e-02     4.756402e-02  
        1.75     5.142000e-01     5.493027e-03     6.430213e-02     5.406150e-02  
        2.25     5.025000e-01     5.305209e-03     6.705009e-02     5.283139e-02  
        2.75     4.535000e-01     5.242896e-03     6.290915e-02     4.767968e-02  
        3.25     3.990000e-01     5.417389e-03     5.680214e-02     4.194970e-02  
        3.75     3.802000e-01     6.380016e-03     5.471147e-02     3.997313e-02  
        4.25     3.604000e-01     5.295633e-03     5.471135e-02     3.789141e-02  
        4.75     3.516000e-01     5.937516e-03     5.354979e-02     3.696620e-02  
        5.25     3.282000e-01     6.885630e-03     5.005655e-02     3.450600e-02  
        5.75     3.223000e-01     8.175068e-03     4.911882e-02     3.388569e-02  
        6.25     3.351000e-01     1.018734e-02     5.108382e-02     3.523144e-02  
        6.75     3.262000e-01     8.932461e-03     4.981237e-02     3.429572e-02  
        7.25     3.003000e-01     1.041392e-02     4.598793e-02     3.157267e-02  
        7.75     3.102000e-01     1.291882e-02     4.761290e-02     3.261353e-02  
        8.25     3.324000e-01     1.651056e-02     5.135068e-02     3.494757e-02  
        8.75     3.566000e-01     1.970913e-02     5.547481e-02     3.749189e-02  
        9.25     3.445000e-01     2.450823e-02     5.388834e-02     3.621973e-02  
        9.75     3.502000e-01     3.136497e-02     5.557325e-02     3.681901e-02  
          11     3.198000e-01     2.196333e-02     5.412815e-02     3.362284e-02  
          13     3.356000e-01     4.234713e-02     6.686950e-02     3.528401e-02  
          15     4.554000e-01     8.777856e-02     1.081806e-01     4.787944e-02  
          17     5.281000e-01     1.801349e-01     1.442385e-01     5.552290e-02 
#
#### Bottom Insert: pi0 R_AB in 20-40% Cu+Au, 40-50% Au+Au and 0-10% Cu+Cu collisions at 200 GeV
#
#p_T (GeV/c)           R_{AB}  Stat. + Syst. A          Syst. B          Syst. C  
#20-40% Cu+Au
! -1 Defined above
        1.25     6.631129e-01     1.326601e-02     5.524842e-02     7.497378e-02  
        1.75     7.006328e-01     1.054984e-02     6.358999e-02     7.921591e-02  
        2.25     6.593650e-01     8.519634e-03     6.499743e-02     7.455003e-02  
        2.75     6.188190e-01     7.694929e-03     6.224914e-02     6.996576e-02  
        3.25     6.120685e-01     7.644499e-03     6.516063e-02     6.920253e-02  
        3.75     5.695549e-01     7.632709e-03     6.411091e-02     6.439580e-02  
        4.25     5.763004e-01     6.401210e-03     6.776348e-02     6.515847e-02  
        4.75     5.739665e-01     6.477436e-03     6.787696e-02     6.489459e-02  
        5.25     5.676203e-01     6.519829e-03     7.043314e-02     6.417707e-02  
        5.75     5.567399e-01     6.975472e-03     6.913619e-02     6.294689e-02  
        6.25     5.585409e-01     7.894463e-03     6.956077e-02     6.315052e-02  
        6.75     5.695284e-01     9.461166e-03     7.114701e-02     6.439280e-02  
        7.25     5.608393e-01     1.092278e-02     7.037692e-02     6.341038e-02  
        7.75     5.696533e-01     1.307874e-02     7.159114e-02     6.440692e-02  
        8.25     5.490347e-01     1.378660e-02     7.287948e-02     6.207572e-02  
        8.75     5.676645e-01     1.633205e-02     7.594497e-02     6.418206e-02  
        9.25     5.715680e-01     1.994028e-02     7.636656e-02     6.462341e-02  
        9.75     6.363868e-01     2.624653e-02     8.561714e-02     7.195204e-02  
          11     5.933187e-01     1.759108e-02     8.538516e-02     6.708261e-02  
          13     6.178850e-01     3.384270e-02     9.540224e-02     6.986016e-02  
          15     7.756583e-01     7.501900e-02     1.295654e-01     8.769854e-02  
          17     7.892735e-01     1.254515e-01     1.494431e-01     8.923792e-02  
          19     7.811229e-01     1.998247e-01     1.648782e-01     8.831639e-02  
#40-50% Au+Au
! 43 Change eta to pi0
        1.25     5.491000e-01     6.105182e-03     6.239463e-02     6.518677e-02  
        1.75     6.287000e-01     6.223637e-03     7.786559e-02     7.463654e-02  
        2.25     6.235000e-01     6.239643e-03     8.288124e-02     7.401922e-02  
        2.75     6.007000e-01     6.598661e-03     8.316270e-02     7.131250e-02  
        3.25     5.724000e-01     7.291900e-03     8.134719e-02     6.795285e-02  
        3.75     5.417000e-01     8.802766e-03     7.789081e-02     6.430828e-02  
        4.25     5.463000e-01     7.756469e-03     8.289641e-02     6.485437e-02  
        4.75     5.217000e-01     9.313722e-03     7.944063e-02     6.193396e-02  
        5.25     5.247000e-01     1.163475e-02     8.003019e-02     6.229011e-02  
        5.75     5.462000e-01     1.532763e-02     8.327086e-02     6.484250e-02  
        6.25     5.258000e-01     1.802342e-02     8.019444e-02     6.242070e-02  
        6.75     5.114000e-01     1.727818e-02     7.812367e-02     6.071119e-02  
        7.25     4.716000e-01     2.132992e-02     7.228951e-02     5.598631e-02  
        7.75     4.980000e-01     2.520312e-02     7.671324e-02     5.912040e-02  
        8.25     5.567000e-01     3.280102e-02     8.615288e-02     6.608901e-02  
        8.75     5.173000e-01     3.793670e-02     8.065234e-02     6.141162e-02  
        9.25     5.330000e-01     4.494479e-02     8.458002e-02     6.327545e-02  
        9.75     5.254000e-01     5.717662e-02     8.361032e-02     6.237321e-02  
          11     4.746000e-01     3.931843e-02     8.134385e-02     5.634246e-02  
          13     5.588000e-01     7.721844e-02     1.139833e-01     6.633832e-02  
          15     6.307000e-01     1.708405e-01     1.516332e-01     7.487397e-02  
#0-10% Cu+Cu
! 42 Change eta to pi0
        1.25     6.470000e-01     6.700154e-02     8.114465e-02     9.588501e-02  
        1.75     6.340000e-01     4.800521e-02     8.766884e-02     9.395842e-02  
        2.25     5.810000e-01     4.601303e-02     8.630205e-02     8.610385e-02  
        2.75     5.410000e-01     4.403259e-02     8.365180e-02     8.017587e-02  
        3.25     4.920000e-01     4.207301e-02     7.863253e-02     7.291410e-02  
        3.75     4.700000e-01     4.016655e-02     7.716407e-02     6.965372e-02  
        4.25     4.750000e-01     4.400908e-02     7.988730e-02     7.039471e-02  
        4.75     4.600000e-01     4.301820e-02     7.767176e-02     6.817172e-02  
        5.25     4.590000e-01     4.403508e-02     7.861525e-02     6.802352e-02  
        5.75     4.640000e-01     4.506516e-02     7.889888e-02     6.876452e-02  
        6.25     4.720000e-01     4.711708e-02     8.026542e-02     6.995012e-02  
        6.75     5.010000e-01     5.320163e-02     9.460673e-02     7.424790e-02  
        7.25     4.900000e-01     5.231673e-02     8.319890e-02     7.261771e-02  
        7.75     5.070000e-01     5.748366e-02     8.999636e-02     7.513710e-02  
        8.25     5.180000e-01     5.384047e-02     9.584124e-02     7.676729e-02  
        8.75     5.300000e-01     5.816694e-02     9.835689e-02     7.854568e-02  
        9.25     5.550000e-01     6.379862e-02     1.030827e-01     8.225067e-02  
        9.75     6.020000e-01     7.387637e-02     1.117470e-01     8.921604e-02  
          11     5.580000e-01     6.344821e-02     1.047078e-01     8.269526e-02  
          13     5.840000e-01     8.442251e-02     1.134998e-01     8.654845e-02  
          15     5.900000e-01     1.209962e-01     1.189587e-01     8.743765e-02  
          17     6.370000e-01     1.959569e-01     1.374316e-01     9.440302e-02   
#
########################################################################
# Fig. 7. pi0 Integrated R_AB in Cu+Au and Au+Au collisions at 200 GeV #
########################################################################
#
#### Top Insert: p_T > 5 (GeV/c)
#
#   N_{part}      Int. R_{AB}  Stat. + Syst. A      Syst. B + C  
#Cu+Au
! 44
      8.9155     1.175351e+00     8.433704e-03     1.949688e-01  
       34.92     8.374030e-01     4.807933e-03     1.389095e-01  
       80.37     5.657007e-01     3.117860e-03     9.383918e-02  
       132.4     4.230856e-01     2.924851e-03     7.018200e-02  
       177.2     3.559419e-01     2.515127e-03     5.904411e-02  
#Au+Au
! 45
         6.3     7.780000e-01     2.780000e-02     2.265531e-01  
        13.4     8.010000e-01     2.050000e-02     2.917915e-01  
        25.7     7.430000e-01     1.280000e-02     2.270631e-01  
        45.4     6.460000e-01     8.780000e-03     1.456219e-01  
        74.4     5.200000e-01     6.140000e-03     1.054523e-01  
         167     3.250000e-01     3.290000e-03     8.227062e-02  
         235     2.590000e-01     2.600000e-03     7.641842e-02  
#
#### Bottom Insert: p_T > 10 (GeV/c)
#
#   N_{part}      Int. R_{AB}  Stat. + Syst. A      Syst. B + C  
#Cu+Au
! 46
      8.9155     1.093127e+00     4.116527e-02     1.997397e-01  
       34.92     8.273446e-01     2.322064e-02     1.511751e-01  
       80.37     6.095629e-01     1.512555e-02     1.113813e-01  
       132.4     4.557356e-01     1.219606e-02     8.327347e-02  
       177.2     3.861600e-01     1.010742e-02     7.056039e-02  
#Au+Au
! 47
         6.3     5.880000e-01     1.640000e-01     1.885376e-01  
        13.4     6.220000e-01     1.110000e-01     2.354915e-01  
