pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	1.05E-01	1.78E-03	9.27E-03	3.99E-03
1.5	2	1.94E-02	3.22E-04	1.70E-03	7.91E-04
2	2.5	4.36E-03	7.87E-05	3.82E-04	1.88E-04
2.5	3	1.08E-03	3.12E-05	9.67E-05	4.86E-05
3	3.5	3.40E-04	1.29E-05	3.08E-05	1.58E-05
3.5	4	1.14E-04	4.57E-06	1.03E-05	5.55E-06
4	4.5	4.59E-05	2.68E-06	4.26E-06	2.26E-06
4.5	5	1.63E-05	1.59E-06	1.66E-06	7.54E-07
5	5.5	8.15E-06	1.01E-06	9.06E-07	3.65E-07
5.5	6	4.37E-06	5.99E-07	5.33E-07	2.13E-07
6	6.5	2.09E-06	3.69E-07	3.03E-07	1.05E-07
6.5	7	1.10E-06	2.67E-07	1.99E-07	4.69E-08
7	7.5	8.52E-07	4.92E-07	9.94E-08	9.42E-08
