pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	7.98E-02	1.23E-03	7.04E-03	3.14E-03
1.5	2	1.46E-02	2.10E-04	1.28E-03	6.22E-04
2	2.5	3.25E-03	5.76E-05	2.86E-04	1.48E-04
2.5	3	8.16E-04	2.23E-05	7.32E-05	3.87E-05
3	3.5	2.52E-04	9.19E-06	2.27E-05	1.24E-05
3.5	4	8.68E-05	3.19E-06	7.82E-06	4.49E-06
4	4.5	3.40E-05	1.83E-06	3.13E-06	1.79E-06
4.5	5	1.27E-05	1.06E-06	1.25E-06	6.49E-07
5	5.5	6.05E-06	6.96E-07	6.55E-07	2.93E-07
5.5	6	3.05E-06	4.06E-07	3.65E-07	1.57E-07
6	6.5	1.65E-06	2.67E-07	2.25E-07	8.74E-08
6.5	7	7.53E-07	1.75E-07	1.31E-07	3.32E-08
7	7.5	2.73E-07	9.61E-08	7.17E-08	1.68E-08
7.5	8	1.51E-07	7.56E-08	7.81E-08	7.56E-09
