pT_low	pT_high	R_AA	eR_AA	eNorm
1	1.5	0.654	0.073	0.193
1.5	2	0.727	0.081	0.215
2	2.5	0.791	0.09	0.234
2.5	3	0.697	0.086	0.206
3	3.5	0.713	0.097	0.21
3.5	4	0.718	0.104	0.212
4	4.5	0.824	0.117	0.243
4.5	5	0.734	0.129	0.217
5	5.5	0.726	0.139	0.214
5.5	6	0.925	0.19	0.273
6	6.5	0.92	0.231	0.272
6.5	7	0.992	0.314	0.293
