1,1.5,0.133947,0.004502,0.023162,0.020092
1.5,2,0.01826,0.000892,0.002972,0.002739
2,2.5,0.003488,0.00026,0.000872,0.000523
2.5,3,0.00069,0.00009,0.000144,0.000104
3,3.5,0.000251,0.000046,0.000058,0.000038
,,,,,
,,,,,
1,1.5,1.21,,,
1.5,2,1.71,,,
2,2.5,2.221,,,
2.5,3,2.721,,,
3,3.5,3.233,,,
