pT_low	pT_high	v2	err_v2	syslow
0.247	0.348	0.02569	0.00009	0.0189
0.348	0.448	0.04271	0.00009	0.00368
0.448	0.548	0.05587	0.0001	0.00256
0.548	0.648	0.06846	0.00011	0.00223
0.648	0.748	0.08009	0.00013	0.00191
0.748	0.848	0.09123	0.00014	0.00176
0.848	0.948	0.10124	0.00016	0.00188
0.948	1.092	0.11159	0.00018	0.00153
1.092	1.292	0.12439	0.00016	0.0015
1.292	1.492	0.1417	0.0002	0.00142
1.492	1.692	0.1577	0.00027	0.00178
1.692	1.892	0.17244	0.00037	0.00168
1.892	2.2	0.18481	0.0005	0.00173
2.2	2.703	0.19684	0.00049	0.00163
2.703	3.343	0.20803	0.00092	0.00144
3.343	4.381	0.20569	0.00141	0.00206
4.381	5.41	0.17942	0.00371	0.00372
5.41	6.852	0.14862	0.00877	0.00663
6.852	7.573	0.16262	0.0177	0.0202
