# pT_low pT_high v2 err_v2 syslow
0.247 0.348 0.02486 9e-5 0.018
0.348 0.448 0.04133 1.0e-4 0.004
0.448 0.548 0.05407 1.2e-4 0.0025
0.548 0.648 0.06625 1.3e-4 0.0022
0.648 0.748 0.07751 1.5e-4 0.0019
0.748 0.848 0.08828 1.7e-4 0.0017
0.848 0.948 0.09798 1.9e-4 0.0018
0.948 1.092 0.10799 2.1e-4 0.0015
1.092 1.292 0.12038 2.0e-4 0.0015
1.292 1.492 0.13713 2.5e-4 0.0014
1.492 1.692 0.15261 3.1e-4 0.0017
1.692 1.892 0.1669 4e-4 0.0016
1.892 2.2 0.1789 5e-4 0.0017
2.2 2.703 0.1905 5e-4 0.0016
2.703 3.343 0.2013 9e-4 0.0014
3.343 4.381 0.1991 0.0014 0.0020
4.381 5.41 0.174 0.004 0.004
5.41 6.852 0.144 0.008 0.006
6.852 7.573 0.157 0.017 0.020
