pT_low	pT_high	R_AA	eR_AA	eNorm
1	1.5	0.66	0.073	0.203
1.5	2	0.724	0.08	0.223
2	2.5	0.786	0.089	0.242
2.5	3	0.708	0.085	0.218
3	3.5	0.73	0.097	0.225
3.5	4	0.716	0.102	0.22
4	4.5	0.816	0.112	0.251
4.5	5	0.724	0.118	0.223
5	5.5	0.773	0.143	0.238
5.5	6	0.819	0.16	0.252
6	6.5	0.871	0.202	0.268
6.5	7	0.76	0.22	0.234
7	7.5	1.206	0.744	0.371
