# pT_low pT_high Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1 1.5 0.862 0.021 0.08 0.033
1.5 2 0.1650 0.0035 0.014 0.007
2 2.5 0.0354 8e-4 0.0031 0.0016
2.5 3 0.00885 2.8e-4 8e-4 4e-4
3 3.5 0.00239 9e-5 2.1e-4 1.1e-4
3.5 4 7.50e-4 2.5e-5 7e-5 4e-5
4 4.5 3.05e-4 1.1e-5 2.8e-5 1.6e-5
4.5 5 1.24e-4 7e-6 1.1e-5 7e-6
5 5.5 4.87e-5 4e-6 5e-6 2.6e-6
5.5 6 2.21e-5 2.2e-6 2.3e-6 1.2e-6
6 6.5 1.27e-5 1.4e-6 1.4e-6 7e-7
6.5 7 7.9e-6 1.1e-6 1.0e-6 4e-7
7 7.5 3.57e-6 7e-7 5e-7 1.8e-7
7.5 8 2.77e-6 6e-7 4e-7 1.5e-7
8 8.5 1.30e-6 4e-7 4e-7 6e-8
