pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	8.62E-01	2.06E-02	7.66E-02	3.29E-02
1.5	2	1.65E-01	3.45E-03	1.44E-02	6.76E-03
2	2.5	3.54E-02	8.48E-04	3.11E-03	1.55E-03
2.5	3	8.85E-03	2.75E-04	7.95E-04	4.03E-04
3	3.5	2.39E-03	9.39E-05	2.13E-04	1.13E-04
3.5	4	7.50E-04	2.45E-05	6.74E-05	3.76E-05
4	4.5	3.05E-04	1.13E-05	2.75E-05	1.58E-05
4.5	5	1.24E-04	6.51E-06	1.14E-05	6.54E-06
5	5.5	4.87E-05	3.56E-06	4.70E-06	2.59E-06
5.5	6	2.21E-05	2.15E-06	2.34E-06	1.19E-06
6	6.5	1.27E-05	1.44E-06	1.40E-06	6.65E-07
6.5	7	7.91E-06	1.09E-06	9.73E-07	4.12E-07
7	7.5	3.57E-06	6.76E-07	5.30E-07	1.76E-07
7.5	8	2.77E-06	5.64E-07	4.46E-07	1.51E-07
8	8.5	1.30E-06	3.75E-07	4.11E-07	6.49E-08
