dphi_low	dphi_high	C(dphi)	dC9dphi)
5	15	1.366308	0.031042
15	25	1.22777	0.031806
25	35	1.035053	0.029262
35	45	0.933472	0.029729
45	55	0.844041	0.031532
55	65	0.832739	0.035218
65	75	0.762295	0.038597
75	85	0.680993	0.040975
85	95	0.767203	0.045445
95	105	0.826683	0.044344
105	115	0.808984	0.038172
115	125	0.837824	0.035768
125	135	0.933675	0.035648
135	145	0.881166	0.033003
145	155	0.980717	0.033668
155	165	0.98032	0.032848
165	175	1.060679	0.033334
175	180	1.095873	0.034647
