# dphi_low dphi_high C(dphi) dC9dphi)
5 15 1.0879 0.0017
15 25 1.0679 0.0019
25 35 1.0321 0.0018
35 45 0.9948 0.0019
45 55 0.9608 0.0021
55 65 0.9381 0.0024
65 75 0.9149 0.0027
75 85 0.9150 0.0031
85 95 0.9125 0.0032
95 105 0.9240 0.0029
105 115 0.9322 0.0026
115 125 0.9443 0.0024
125 135 0.9667 0.0023
135 145 0.9804 0.0022
145 155 0.9983 0.0021
155 165 1.0101 0.0021
165 175 1.0199 0.0020
175 180 1.0256 0.0021
