pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	1.44E-01	3.20E-03	1.28E-02	5.48E-03
1.5	2	2.70E-02	5.72E-04	2.37E-03	1.10E-03
2	2.5	6.09E-03	1.38E-04	5.38E-04	2.62E-04
2.5	3	1.48E-03	5.48E-05	1.35E-04	6.54E-05
3	3.5	4.61E-04	2.12E-05	4.33E-05	2.09E-05
3.5	4	1.59E-04	7.59E-06	1.45E-05	7.65E-06
4	4.5	6.44E-05	4.39E-06	6.11E-06	3.12E-06
4.5	5	2.29E-05	2.56E-06	2.65E-06	1.00E-06
5	5.5	1.06E-05	1.42E-06	1.26E-06	4.92E-07
5.5	6	6.85E-06	1.03E-06	8.90E-07	3.38E-07
6	6.5	3.07E-06	6.19E-07	4.92E-07	1.52E-07
6.5	7	1.99E-06	4.97E-07	5.60E-07	9.96E-08
