# pT_low pT_high Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1 1.5 0.1440 0.0032 0.013 0.005
1.5 2 0.0270 6e-4 0.0024 0.0011
2 2.5 0.00609 1.4e-4 5e-4 2.6e-4
2.5 3 0.00148 5e-5 1.4e-4 7e-5
3 3.5 4.61e-4 2.1e-5 4e-5 2.1e-5
3.5 4 1.59e-4 8e-6 1.5e-5 8e-6
4 4.5 6.44e-5 4e-6 6e-6 3.1e-6
4.5 5 2.29e-5 2.6e-6 2.7e-6 1.0e-6
5 5.5 1.06e-5 1.4e-6 1.3e-6 5e-7
5.5 6 6.85e-6 1.0e-6 9e-7 3.4e-7
6 6.5 3.07e-6 6e-7 5e-7 1.5e-7
6.5 7 1.99e-6 5e-7 6e-7 1.0e-7
