pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	5.61E-01	1.17E-02	4.98E-02	2.14E-02
1.5	2	1.05E-01	1.98E-03	9.38E-03	4.32E-03
2	2.5	2.21E-02	5.15E-04	1.94E-03	9.61E-04
2.5	3	5.53E-03	1.62E-04	4.87E-04	2.52E-04
3	3.5	1.63E-03	5.88E-05	1.44E-04	7.68E-05
3.5	4	5.34E-04	1.63E-05	4.75E-05	2.66E-05
4	4.5	1.83E-04	8.64E-06	1.67E-05	9.26E-06
4.5	5	8.79E-05	4.92E-06	8.19E-06	4.58E-06
5	5.5	3.65E-05	3.07E-06	3.65E-06	1.83E-06
5.5	6	1.90E-05	1.87E-06	2.00E-06	9.81E-07
6	6.5	9.74E-06	1.24E-06	1.18E-06	5.12E-07
6.5	7	4.41E-06	7.96E-07	6.44E-07	2.19E-07
7	7.5	3.34E-06	6.47E-07	7.79E-07	1.67E-07
7.5	8	1.48E-06	4.10E-07	4.52E-07	7.38E-08
