# pT_low pT_high Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1 1.5 0.561 0.012 0.05 0.021
1.5 2 0.1050 0.0020 0.009 0.004
2 2.5 0.0221 5e-4 0.0019 0.0010
2.5 3 0.00553 1.6e-4 5e-4 2.5e-4
3 3.5 0.00163 6e-5 1.4e-4 8e-5
3.5 4 5.34e-4 1.6e-5 5e-5 2.7e-5
4 4.5 1.83e-4 9e-6 1.7e-5 9e-6
4.5 5 8.8e-5 5e-6 8e-6 5e-6
5 5.5 3.65e-5 3.1e-6 4e-6 1.8e-6
5.5 6 1.90e-5 1.9e-6 2.0e-6 1.0e-6
6 6.5 9.7e-6 1.2e-6 1.2e-6 5e-7
6.5 7 4.41e-6 8e-7 6e-7 2.2e-7
7 7.5 3.34e-6 6e-7 8e-7 1.7e-7
7.5 8 1.48e-6 4e-7 5e-7 7e-8
