pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	1.29E+00	2.94E-02	1.14E-01	4.97E-02
1.5	2	2.57E-01	4.84E-03	2.25E-02	1.07E-02
2	2.5	5.16E-02	1.24E-03	4.58E-03	2.27E-03
2.5	3	1.25E-02	4.03E-04	1.13E-03	5.72E-04
3	3.5	3.54E-03	1.48E-04	3.23E-04	1.67E-04
3.5	4	1.13E-03	3.29E-05	1.05E-04	5.64E-05
4	4.5	4.27E-04	1.54E-05	3.89E-05	2.20E-05
4.5	5	1.72E-04	7.74E-06	1.58E-05	9.16E-06
5	5.5	7.81E-05	4.51E-06	7.32E-06	4.24E-06
5.5	6	3.41E-05	2.84E-06	3.38E-06	1.81E-06
6	6.5	1.43E-05	1.89E-06	1.65E-06	6.69E-07
6.5	7	9.55E-06	1.17E-06	1.14E-06	5.44E-07
7	7.5	4.63E-06	7.59E-07	6.46E-07	2.60E-07
7.5	8	3.02E-06	5.95E-07	4.77E-07	1.67E-07
8	8.5	1.62E-06	4.22E-07	4.72E-07	8.10E-08
