pT_low	pT_high	R_AA	eR_AA	eNorm
1	1.5	0.33	0.037	0.044
1.5	2	0.38	0.042	0.051
2	2.5	0.378	0.044	0.051
2.5	3	0.31	0.038	0.041
3	3.5	0.266	0.037	0.036
3.5	4	0.255	0.037	0.034
4	4.5	0.248	0.033	0.033
4.5	5	0.272	0.038	0.036
5	5.5	0.248	0.037	0.033
5.5	6	0.188	0.031	0.025
6	6.5	0.225	0.04	0.03
6.5	7	0.155	0.034	0.021
7	7.5	0.216	0.054	0.029
7.5	8	0.338	0.09	0.045
8	8.5	0.245	0.073	0.033
8.5	9	0.224	0.082	0.03
9	9.5	0.306	0.122	0.041
9.5	10	0.28	0.152	0.037
