PPG142  Adare:2012bv    1211.4017  CY10270  PRC.87.044909
PPG141  Adare:2012vv    1209.3278  DW10990  PRD.87.012011
PPG140  Adare:2012vn    1208.1234  LV12827  PRC.87.054907
PPG139  Afanasiev:2012dg  1205.5759  LS13817  PRL.109.152302
PPG138  Adare:2012uk    1204.1526  LR13017  PRL.109.152301
PPG137  Adare:2012vw    1209.3283  DW10989  PRD.88.032006
PPG136  Adare:2012yt    1205.5533  DS11199  PRD.86.072008
PPG135  Adare:2013ekj   1312.1995  DM11240  PRD.90.012006
PPG134  Adare:2012nq    1202.4020  DP11030  PRD.86.092006
PPG133  Adare:2012wg   1208.2254  CV10250  PRC.87.034911
PPG132  Adare:2011tg   1105.3928  LE13481  PRL.107.252301
PPG131  Adare:2012yxa  1208.1293  LV12832  PRL.109.242301
PPG130  Adare:2013xlp  1311.1427  CL10321  PRC.89.034915
PPG129  Adare:2013wop  1309.4437  CJ10372  PRC.88.064910
PPG128  Adare:2011sc   1105.5112  LF12926  PRL.107.172301
PPG126  Adare:2011zr   1105.4126  LH13313  PRL.109.122302
PPG125  Adare:2012qf   1204.0777  CR10253  PRC.87.034904
PPG124  Adare:2014bga  1412.1043  CZ10346  PRC.92.034913
PPG123  Adare:2012vq   1203.2644  CQ10269  PRC.85.064914
PPG120  Adare:2010xa   1009.0505  LW11870  PRL.106.062001
PPG119  Adare:2011yf   1103.6269  CC10317  PRC.84.054912
PPG118  Adare:2011ht   1105.3467  CE10277  PRC.84.044902
PPG117  Adare:2012px   1204.0754  CR10251  PRC.86.024909
PPG116  Adare:2010mq   1010.1521  CX10175  PRC.84.024904
PPG115  Adare:2010dc   1005.4916  CSR1023  PRC.82.011902
PPG113  Adare:2012qi   1212.3323  LZ13332  PRL.111.032301
PPG112  Adare:2010ud   1011.1477  CY10147  PRC.83.044912
PPG111  Adare:2014hje  1404.2246  CS10387  PRC.91.024913
PPG110  Adare:2010sp   1006.3740  LT12592  PRL.105.142301
PPG109  Adare:2010fn   1010.1246  LX12045  PRL.107.142301
PPG107  Adare:2010cy   1009.6224  DX10522  PRD.83.032001
PPG106  Adare:2010ry   1002.1077  LP11859  PRL.104.252301
PPG104  Adare:2011vq   1105.1966  DE10921  PRD.85.092004
PPG103E Adare:2010bd   1210.6683  DXE1025  PRD.86.099904(E)
PPG103  Adare:2010bd   1009.4864  DW10777  PRD.82.112008
PPG101  Adare:2011vy   1102.0753  CB10241  PRC.83.064903
PPG100  Adler:2013aqf  1312.6676  CM10419  PRC.89.044905
PPG099  Adare:2010fe   1005.3674  DS10760  PRD.83.052004
PPG098  Adare:2010ux   1003.5586  LQ12815  PRL.105.062301
PPG097  Adare:2009js   0912.2082  DR10797  PRD.82.012001
PPG096  Adare:2010pt   1004.3532  CR10202  PRC.83.024909
PPG095  Adare:2010yw   1006.1347  DT10613  PRD.82.072001
PPG094  Adare:2009ic   0903.4851  LC12806  PRL.103.082002
PPG093  Adare:2010cc   1009.4921  DW10778  PRD.84.012006
PPG092  Afanasiev:2009aa  0903.4886  CC10212  PRC.80.054907
PPG091  Adare:2008aa   0810.0694  LX11059  PRL.103.012003
PPG090  Adare:2009vd   0903.3399  CC10191  PRC.80.024908
PPG089  Adare:2009aa   0910.1029  DK10591  PRD.81.012002
PPG088  Adare:2009qk   0912.0244  CM10163  PRC.81.034911
PPG087  Adare:2008qb   0810.0701  DX10297  PRD.79.012003
PPG086  Adare:2008ab   0804.4168  LR11713  PRL.104.132301
PPG085  Adare:2008ac   0802.0050  PLB_25380  PLB.670.313
PPG084  Adare:2008ad   0801.4555  LN11617  PRL.101.162301
PPG083  Adare:2008ae   0801.4545  CN10135  PRC.78.014901
PPG082  Afanasiev:2009ii  0903.4863  LC12793  PRL.103.142301
PPG081  Afanasiev:2009hy  0903.2041  PLB_26054  PLB.679.321
PPG080  Adare:2008qa   0801.4020  LN11494  PRL.101.232301
PPG079  Adare:2008cg   0801.1665  CN10088  PRC.77.064907
PPG078E  Adare:2007gn  0903.4845  CL10131  PRC.79.059901
PPG078  Adare:2007gn   0711.3917  CL10131  PRC.77.024912
PPG077  Adare:2010de   1005.1627  CS10196  PRC.84.044905
PPG076  Afanasiev:2007kk  0712.4372  LM11737  PRL.100.232301
PPG075  Afanasiev:2007aa  0706.3034  LF11540  limbo
PPG074  Adare:2007vu   0705.3238  LE11543  PRL.77.011901
PPG073  Afanasiev:2007tv  nucl-ex/0703024  LC11326  PRL.99.052301
PPG072  Adare:2006nn  nucl-ex/0611016  PLB_23914  PLB.649.359
PPG071  Adare:2008sh  nucl-ex/0801.0220  LM11768  PRL.101.122301
PPG070  Adare:2008ns  nucl-ex/0805.1521  CS10101  PRC.78.044902
PPG069  Adare:2006kf  hep-ex/0611020  LY10314  PRL.98.e232002
PPG068  Adare:2006ns  nucl-ex/0611020  LY10316  PRL.77.024912
PPG067  Adare:2006nr  nucl-ex/0611019  LY10311  PRL.98.232302
PPG066  Adare:2006nq  nucl-ex/0611018  LY10305  PRL.98.172301
PPG065  Adare:2006hc  hep-ex/0609010  LW10183  PRL.97.252002
