Upper left dN/dDphi pTassoc 1.5-2.0 GeV
Filled circles d+Au
Dphi			dNdDphi
-0.327	!	!	0.064	0.013	!
-0.196	!	!	0.148	0.019	!
-0.065	!	!	0.279	0.028	!
0.065	!	!	0.226	0.024	!
0.196	!	!	0.188	0.024	!
0.327	!	!	0.047	0.011	!
0.458	!	!	0.022	0.008	!
0.589	!	!	0.033	0.010	!
0.720	!	!	0.010	0.006	!
0.982	!	!	0.007	0.007	!
1.505	!	!	0.019	0.019	!
1.636	!	!	0.051	0.030	!
1.767	!	!	0.011	0.011	!
1.898	!	!	0.008	0.008	!
2.029	!	!	0.023	0.013	!
2.160	!	!	0.015	0.009	!
2.291	!	!	0.025	0.010	!
2.422	!	!	0.030	0.010	!
2.553	!	!	0.030	0.010	!
2.683	!	!	0.061	0.013	!
2.814	!	!	0.059	0.012	!
2.945	!	!	0.082	0.015	!
3.076	!	!	0.092	0.015	!
3.207	!	!	0.072	0.013	!
3.338	!	!	0.102	0.017	!
3.469	!	!	0.071	0.013	!
3.600	!	!	0.059	0.013	!
3.731	!	!	0.043	0.012	!
3.862	!	!	0.015	0.007	!
3.992	!	!	0.007	0.005	!
4.123	!	!	0.020	0.010	!
4.254	!	!	0.013	0.009	!
4.385	!	!	0.031	0.016	!

Lower left dN/dDphi pTassoc 3.0-4.0 GeV
Filled circles d+Au
Dphi			dNdDphi
-1.505	!	!	0.009	0.007	!
-1.374	!	!	0.005	0.005	!
-1.244	!	!	0.003	0.003	!
-1.113	!	!	0.007	0.004	!
-0.982	!	!	0.004	0.003	!
-0.851	!	!	0.008	0.003	!
-0.720	!	!	0.005	0.002	!
-0.589	!	!	0.005	0.002	!
-0.458	!	!	0.009	0.003	!
-0.327	!	!	0.026	0.004	!
-0.196	!	!	0.057	0.007	!
-0.065	!	!	0.099	0.008	!
0.065	!	!	0.091	0.008	!
0.196	!	!	0.054	0.007	!
0.327	!	!	0.017	0.003	!
0.458	!	!	0.011	0.003	!
0.589	!	!	0.005	0.002	!
0.720	!	!	0.002	0.002	!
0.851	!	!	0.005	0.003	!
0.982	!	!	0.006	0.004	!
1.113	!	!	0.007	0.004	!
1.374	!	!	0.005	0.005	!
1.505	!	!	0.010	0.007	!
1.636	!	!	0.003	0.003	!
1.767	!	!	0.003	0.003	!
1.898	!	!	0.012	0.005	!
2.029	!	!	0.003	0.002	!
2.160	!	!	0.007	0.003	!
2.291	!	!	0.007	0.003	!
2.422	!	!	0.009	0.003	!
2.553	!	!	0.009	0.003	!
2.683	!	!	0.016	0.004	!
2.814	!	!	0.031	0.005	!
2.945	!	!	0.044	0.007	!
3.076	!	!	0.056	0.007	!
3.207	!	!	0.040	0.006	!
3.338	!	!	0.038	0.006	!
3.469	!	!	0.026	0.005	!
3.600	!	!	0.023	0.005	!
3.731	!	!	0.018	0.004	!
3.862	!	!	0.008	0.003	!
3.992	!	!	0.013	0.004	!
4.123	!	!	0.012	0.004	!
4.254	!	!	0.003	0.002	!
4.385	!	!	0.007	0.004	!
4.516	!	!	0.003	0.003	!
4.647	!	!	0.003	0.003	!

open circles p+p
Dphi			dNdDphi
-1.113	!	!	0.009	0.009	!
-0.851	!	!	0.005	0.005	!
-0.720	!	!	0.004	0.004	!
-0.589	!	!	0.003	0.003	!
-0.458	!	!	0.007	0.005	!
-0.327	!	!	0.024	0.008	!
-0.196	!	!	0.052	0.012	!
-0.065	!	!	0.142	0.022	!
0.065	!	!	0.128	0.020	!
0.196	!	!	0.083	0.016	!
0.327	!	!	0.023	0.008	!
0.458	!	!	0.003	0.003	!
1.636	!	!	0.015	0.016	!
1.898	!	!	0.020	0.014	!
2.160	!	!	0.005	0.005	!
2.422	!	!	0.006	0.005	!
2.553	!	!	0.003	0.003	!
2.683	!	!	0.018	0.007	!
2.814	!	!	0.015	0.006	!
2.945	!	!	0.036	0.010	!
3.076	!	!	0.032	0.009	!
3.207	!	!	0.034	0.010	!
3.338	!	!	0.031	0.009	!
3.469	!	!	0.029	0.009	!
3.600	!	!	0.015	0.006	!
3.731	!	!	0.014	0.007	!
3.992	!	!	0.005	0.005	!

Lower right dN/dDphi pTassoc 4.0-5.0 GeV
Filled circles d+Au
Dphi			dNdDphi
-1.505	!	!	0.006	0.006	!
-1.113	!	!	0.002	0.003	!
-0.982	!	!	0.004	0.003	!
-0.720	!	!	0.001	0.001	!
-0.458	!	!	0.005	0.002	!
-0.327	!	!	0.004	0.002	!
-0.196	!	!	0.018	0.004	!
-0.065	!	!	0.052	0.006	!
0.065	!	!	0.055	0.006	!
0.196	!	!	0.018	0.004	!
0.327	!	!	0.004	0.002	!
0.458	!	!	0.004	0.002	!
0.851	!	!	0.001	0.001	!
0.982	!	!	0.002	0.002	!
2.029	!	!	0.002	0.002	!
2.160	!	!	0.002	0.002	!
2.291	!	!	0.002	0.002	!
2.422	!	!	0.002	0.002	!
2.553	!	!	0.008	0.003	!
2.683	!	!	0.008	0.003	!
2.814	!	!	0.012	0.004	!
2.945	!	!	0.015	0.004	!
3.076	!	!	0.023	0.005	!
3.207	!	!	0.024	0.005	!
3.338	!	!	0.012	0.004	!
3.469	!	!	0.010	0.003	!
3.600	!	!	0.006	0.003	!
3.731	!	!	0.004	0.002	!
3.862	!	!	0.003	0.002	!
3.992	!	!	0.002	0.002	!
4.123	!	!	0.003	0.002	!
4.254	!	!	0.002	0.002	!
4.385	!	!	0.002	0.002	!
4.647	!	!	0.008	0.006	!

open circles p+p
Dphi			dNdDphi
-1.113	!	!	0.007	0.007	!
-0.458	!	!	0.002	0.002	!
-0.327	!	!	0.005	0.003	!
-0.196	!	!	0.018	0.006	!
-0.065	!	!	0.080	0.020	!
0.065	!	!	0.056	0.016	!
0.196	!	!	0.022	0.009	!
0.327	!	!	0.002	0.002	!
0.458	!	!	0.002	0.002	!
2.291	!	!	0.003	0.003	!
2.422	!	!	0.008	0.006	!
2.553	!	!	0.006	0.005	!
2.683	!	!	0.007	0.004	!
2.814	!	!	0.015	0.006	!
2.945	!	!	0.006	0.004	!
3.076	!	!	0.022	0.008	!
3.207	!	!	0.017	0.007	!
3.338	!	!	0.026	0.010	!
3.469	!	!	0.006	0.004	!
3.731	!	!	0.004	0.004	!
3.862	!	!	0.004	0.004	!
