Upper left dN/dDphi pTassoc 0.4-1.0 GeV/c
Filled circles d+Au
Dphi			dNdDphi
-1.507	!	!	0.721	0.034	!
-1.382	!	!	0.712	0.033	!
-1.256	!	!	0.755	0.033	!
-1.130	!	!	0.769	0.030	!
-1.005	!	!	0.792	0.028	!
-0.879	!	!	0.776	0.025	!
-0.754	!	!	0.798	0.023	!
-0.628	!	!	0.853	0.022	!
-0.502	!	!	0.920	0.022	!
-0.377	!	!	0.941	0.021	!
-0.251	!	!	1.041	0.021	!
-0.126	!	!	1.087	0.022	!
0.000	!	!	1.130	0.022	!
0.126	!	!	1.066	0.021	!
0.251	!	!	1.040	0.021	!
0.377	!	!	0.983	0.021	!
0.502	!	!	0.863	0.021	!
0.628	!	!	0.877	0.023	!
0.754	!	!	0.792	0.023	!
0.879	!	!	0.772	0.025	!
1.005	!	!	0.682	0.026	!
1.130	!	!	0.761	0.030	!
1.256	!	!	0.748	0.033	!
1.382	!	!	0.778	0.035	!
1.507	!	!	0.752	0.035	!
1.633	!	!	0.767	0.035	!
1.758	!	!	0.819	0.036	!
1.884	!	!	0.738	0.032	!
2.010	!	!	0.820	0.030	!
2.135	!	!	0.879	0.028	!
2.261	!	!	0.861	0.026	!
2.386	!	!	0.894	0.025	!
2.512	!	!	0.925	0.024	!
2.638	!	!	0.988	0.024	!
2.763	!	!	0.980	0.023	!
2.889	!	!	1.021	0.023	!
3.014	!	!	1.085	0.023	!
3.140	!	!	1.049	0.023	!
3.266	!	!	1.052	0.023	!
3.391	!	!	0.996	0.023	!
3.517	!	!	0.982	0.023	!
3.642	!	!	0.954	0.024	!
3.768	!	!	0.931	0.024	!
3.894	!	!	0.914	0.025	!
4.019	!	!	0.890	0.027	!
4.145	!	!	0.812	0.027	!
4.270	!	!	0.776	0.029	!
4.396	!	!	0.812	0.033	!
4.522	!	!	0.786	0.035	!
4.647	!	!	0.743	0.035	!

open circles p+p
Dphi			dNdDphi
-1.507	!	!	0.195	0.033	!
-1.382	!	!	0.240	0.036	!
-1.256	!	!	0.194	0.030	!
-1.130	!	!	0.192	0.027	!
-1.005	!	!	0.211	0.026	!
-0.879	!	!	0.227	0.025	!
-0.754	!	!	0.274	0.026	!
-0.628	!	!	0.303	0.025	!
-0.502	!	!	0.311	0.024	!
