$m_{ee}$ (GeV/$c^2$)
1
dN/d$m_{ee}$ ($c^2$/GeV) IN PHENIX ACCEPTANCE
$0.4 < p_T < 0.6$ GeV/$c$
Yes
None
None
ERROR 1
Symmetric
ERROR 2
Symmetric
0.0000	0.0050	5.03825E-01	5.20883E-03	8.94996E-02
0.0050	0.0100	4.76128E-01	5.20272E-03	8.45794E-02
0.0100	0.0150	2.34125E-01	4.02823E-03	4.15902E-02
0.0150	0.0200	1.56753E-01	3.63140E-03	2.78463E-02
0.0200	0.0250	1.26260E-01	3.78794E-03	2.24306E-02
0.0250	0.0300	8.54654E-02	3.59119E-03	1.51852E-02
0.0300	0.0350	8.22218E-02	3.58173E-03	1.46104E-02
0.0350	0.0400	6.69613E-02	3.65598E-03	1.19019E-02
0.0400	0.0450	5.64030E-02	3.85316E-03	1.00298E-02
0.0450	0.0513	4.89527E-02	3.98152E-03	8.70996E-03
0.0513	0.0600	3.20074E-02	2.43510E-03	5.70094E-03
0.0600	0.0700	1.97021E-02	2.79037E-03	3.52570E-03
0.0700	0.0800	1.89115E-02	3.55113E-03	3.40543E-03
0.0800	0.0900	1.15254E-02	3.49113E-03	2.09710E-03
0.0900	0.1075	6.64880E-03	3.13233E-03	1.22158E-03
0.1075	0.1400	3.90809E-03	1.11762E-03	7.72526E-04
0.1400	0.1888	2.93331E-03	1.13622E-03	6.35179E-04
0.1888	0.2738	3.20864E-03	7.93453E-04	8.28751E-04
0.2738	0.4050	5.29978E-03	7.14322E-04	1.49333E-03
0.4050	0.5550	1.32643E-03	upper	limit
0.5550	0.6813	1.41195E-03	4.62631E-04	8.41698E-04
0.6813	0.7563	7.52759E-04	4.86353E-04	3.23849E-04
0.7563	0.8400	1.07921E-03	4.72057E-04	2.97687E-04
0.8400	0.9625	4.67637E-04	upper	limit
0.9625	1.0750	3.70879E-04	2.06825E-04	8.85250E-05
1.0750	1.2000	2.20510E-04	upper	limit
1.2000	1.3500	1.20920E-04	6.58230E-05	2.53925E-05
1.3500	1.5000	1.23380E-04	upper	limit
1.5000	1.6500	8.71437E-05	upper	limit
1.6500	2.0250	4.38291E-05	2.31800E-05	6.38147E-06
2.0250	2.4000	1.28967E-05	upper	limit
2.4000	2.5500	4.86928E-06	3.46034E-06	6.54475E-07
***
