$m_{ee}$ (GeV/$c^2$)
1
dN/d$m_{ee}$ ($c^2$/GeV) IN PHENIX ACCEPTANCE
$0.6 < p_T < 0.8$ GeV/$c$
Yes
None
None
ERROR 1
Symmetric
ERROR 2
Symmetric
0.0000	0.0050	6.38603E-03	1.27452E-04	1.13442E-03
0.0050	0.0100	8.14503E-03	1.50260E-04	1.44688E-03
0.0100	0.0150	4.35269E-03	1.14848E-04	7.73214E-04
0.0150	0.0200	2.56919E-03	9.45618E-05	4.56398E-04
0.0200	0.0250	2.17793E-03	9.52142E-05	3.86898E-04
0.0250	0.0300	1.47996E-03	8.80639E-05	2.62924E-04
0.0300	0.0350	1.49742E-03	8.86861E-05	2.66032E-04
0.0350	0.0400	1.11238E-03	8.99250E-05	1.97658E-04
0.0400	0.0450	1.00973E-03	9.42468E-05	1.79443E-04
0.0450	0.0513	9.05341E-04	9.02353E-05	1.60919E-04
0.0513	0.0600	6.49796E-04	6.88160E-05	1.15602E-04
0.0600	0.0700	5.10070E-04	7.33046E-05	9.09063E-05
0.0700	0.0900	5.79884E-04	7.09030E-05	1.03313E-04
0.0900	0.1300	2.33673E-04	3.82830E-05	4.24326E-05
0.1300	0.1863	2.71096E-04	4.91815E-05	5.22887E-05
0.1863	0.2550	1.28335E-04	5.13787E-05	3.48150E-05
0.2550	0.3300	3.08567E-04	5.93175E-05	6.73633E-05
0.3300	0.4113	1.36576E-04	6.56433E-05	5.46191E-05
0.4113	0.5050	1.17487E-04	6.31878E-05	5.81577E-05
0.5050	0.6050	1.06338E-04	5.20073E-05	5.82255E-05
0.6050	0.6938	3.96119E-05	3.76285E-05	2.52724E-05
0.6938	0.7563	7.62322E-05	4.14743E-05	2.61334E-05
0.7563	0.8400	5.82057E-05	4.21351E-05	2.06444E-05
0.8400	0.9625	4.33108E-05	upper	limit
0.9625	1.2250	4.26044E-05	1.83331E-05	8.84809E-06
1.2250	1.5750	1.06264E-05	upper	limit
1.5750	1.8000	5.79986E-06	upper	limit
1.8000	1.9500	3.73033E-06	upper	limit
1.9500	2.1000	2.06877E-06	1.12476E-06	2.80952E-07
2.1000	2.2500	1.72616E-06	upper	limit
2.2500	2.4000	7.51446E-07	6.33242E-07	1.03556E-07
2.4000	2.5500	8.99054E-07	upper	limit
***
