pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	4.91E-02	9.12E-04	4.30E-03	1.92E-03
1.5	2	8.65E-03	1.58E-04	7.58E-04	3.68E-04
2	2.5	1.90E-03	4.53E-05	1.67E-04	8.58E-05
2.5	3	5.02E-04	1.69E-05	4.47E-05	2.37E-05
3	3.5	1.58E-04	7.20E-06	1.42E-05	7.70E-06
3.5	4	5.27E-05	2.92E-06	4.89E-06	2.68E-06
4	4.5	1.92E-05	1.69E-06	1.91E-06	9.44E-07
4.5	5	7.63E-06	9.74E-07	8.76E-07	3.48E-07
5	5.5	4.17E-06	7.10E-07	5.59E-07	1.72E-07
5.5	6	1.55E-06	3.55E-07	4.08E-07	7.74E-08
